entity,count
'interleukin-8',18
'MFSD4B gene'],18
'Mitochondrial Uncoupling Proteins',18
'Immunoglobulin Isotypes',18
'GPR20 protein,18
'alpha-Fetoproteins',18
'interleukin-10',18
'Transferrin',18
'paired basic amino acid cleaving enzyme',18
'Transcription Factor AP-1',18
['ARNTL gene',18
'Eukaryotic Initiation Factor-4E',18
'CD40 Ligand',18
'Monomeric GTP-Binding Proteins'],18
'orexins',18
'fibroblast growth factor-1',18
'FGF23 protein,18
'Major Histocompatibility Complex',18
'fibroblast growth factor 7',18
['FFAR1 gene',18
'Interleukin-17',18
'Frizzled Receptors',18
'MARK2 gene'],18
['Glucagon Receptor',18
'LDL-1',18
['receptor',18
'MAPT protein,17
['Insulin-Like Growth Factor I'],17
'Cre recombinase',17
['Peptidyl-Dipeptidase A',17
'Aldosterone Synthase',17
'Dopamine D1 Receptor',17
'HEXA gene',17
'Insulinase',17
'PTGS2 protein,17
'acadesine',17
'KCNA1 gene',17
'NR0B2 gene',17
'ABCA1 protein,17
['orexin receptor type 2',17
'dutogliptin',17
'FABP4 gene',17
'ghrelin'],17
'denagliptin',17
'Growth Factor',17
'blood insulin',17
['Glycogen Synthase Kinase 3',17
'UCP1 gene',17
'PRKCA gene',17
['GDF8 protein,17
['somatropin',17
'Immune Globulin (Human)',17
'Interleukin 4 Receptor',17
'INSR protein,17
'Carboxypeptidase',17
Purinergic P1',17
'MAP3K5 gene',17
'insulin lispro',17
'AKR1C3 gene',17
'OGT gene',16
'NAMPT gene',16
'RPS6KB1 gene',16
['interleukin-10',16
'Fc Receptor',16
'Recombinant human regular insulin'],16
'11-beta-Hydroxysteroid Dehydrogenases'],16
'Acyltransferase',16
'G Protein-Coupled Receptor Genes',16
'Endopeptidases',16
['Stearoyl-CoA Desaturase',16
'AKT1 protein,16
'TGFA protein,16
'Hepatocyte Nuclear Factor 1',16
'Uncoupling Protein 3',16
'CD274 protein,16
'KCNA5 gene',16
Melanocortin,16
'lysosomal Pro-X carboxypeptidase',16
'Proinsulin,16
['SLC2A4 gene',16
PAR-1',16
'SLC5A1 gene'],16
['KCNA3 gene',16
'Fatty Acids',16
'PNPLA2 gene',16
'Apolipoprotein E4',16
'Cytochrome P-450 CYP1A2',16
'gonadorelin'],16
['Mineralocorticoid Receptor',16
'MSTN gene',16
'ERK1 and ERK2 cascade',16
'RNA Transcript',16
['ACACA gene',16
'Eotaxin',15
'Thrombopoietin',15
'Toll-like receptors',15
'Interferon-alpha',15
'Aromatase',15
Islet Amyloid Polypeptide',15
'CD36 Antigens',15
'Huntingtin Protein',15
'Tumor Necrosis Factors'],15
'11-beta-Hydroxysteroid Dehydrogenase Type 1'],15
'Sex Hormone-Binding Globulin'],15
'Ubiquitin',15
'urokinase',15
'Hemoglobin',15
Human'],15
'Pyruvate Kinase'],15
'DPP4 gene'],15
'TRPV Cation Channels',15
'sulfonylurea receptor',15
'NFI Transcription Factors',15
'PDX1 protein,15
'SMAD3 protein,15
'SCD5 gene',15
'LMNA gene',15
'Preproglucagon'],15
'Hexosaminidases'],15
'Estrogen Receptor alpha',15
'Hemeproteins',15
'PYRUVATE CARBOXYLASE',15
'Immunoglobulin Light Chains',15
['Somatotropin-Releasing Hormone',15
'LEP gene',15
'activating transcription factor 6,15
'FGFR4 gene',15
'glycoprotein hormones,15
alpha subunit',15
'AMP Deaminase',15
Type 5'],15
'NEUROG1 gene',15
['11-beta-Hydroxysteroid Dehydrogenases',15
'lipase',15
'Somatostatin Receptor',15
'Histocompatibility Antigens Class I',15
'interleukin-12',15
'Apolipoprotein A-II',15
'FOS gene',15
'Peptidyl-Dipeptidase A'],15
'Enteroglucagons',14
'Corticosteroid 11-Beta-Dehydrogenase Isozyme 1,14
['Glucagon-Like Peptide 1'],14
Sickle Cell',14
['GLP-1 Receptor Agonist [EPC]',14
'Tankyrase',14
'NEUROG3 gene',14
'Integral Membrane Proteins'],14
'DVL1 gene',14
['Melanocortin 4 Receptor',14
'Transforming Growth Factors'],14
['LPAR1 gene',14
'Edg-2 lysophosphatidic acid receptor binding',14
'Alanine Transaminase',14
'activin A',14
'Synaptotagmins',14
'Endothelin-1',14
'LDL-Receptor Related Protein 1',14
'LRP5 gene',14
'HMGCR gene',14
'Phosphatidate Phosphatase'],14
'CERS5 protein,14
'AXIN1 protein',14
'SFRP1 gene',14
'Oxidoreductase',14
'agouti protein',14
'STAT1 gene',14
'Pyruvate Dehydrogenase Complex',14
MHC Class II',14
'recombinant human thrombopoietin',14
'THBS1 gene',14
Type 2',14
'PTGS1 protein,14
'Sodium/Potassium-Transporting ATPase Subunit Alpha-1',14
'ATP7A wt Allele',14
